"target","fips","samplesize","p1","p2","p3","p4","p5","p6","p7","p8","cverror1","cverror2","cverror3","cverror4","cverror5","cverror6","cverror7","cverror8","MSEout1","MSEout2","MSEout3","MSEout4","MSEout5","MSEout6","MSEout7","MSEout8","MSEoutSA","MSEttest1","MSEttest2","MSEttest3","MSEttest4","MSEttest5","MSEttest6","MSEttest7","MSEttest8"
1,1,16,0.9205,0.2598,"0.3634","0.3634","0.3634",0.3634,0.9918,0.8155,11132.4467319721,1002.57267713032,-382.781213124908,1002.57267713032,2043.73270568861,2043.73270568861,295475824655740992,9796.99265610618,10352.4401201645,9171.15345409921,8759.62936556931,8759.62936556931,8759.62936556931,8759.62936556931,30379596459707.3,10182.2259175195,10054.8056581083,0.518118491698445,1.98814574359463e-10,1.35345719516654e-14,1.35345719516654e-14,1.35345719516654e-14,1.35345719516654e-14,1.45335347676562e-121,0.773343718851793
1,1,32,0.0203,0.1695,"5e-04","5e-04","5e-04",5e-04,1,0.3027,-4316.54953829685,-107.170397330154,2306.61384061865,-107.170397330154,2306.61384061865,2306.61384061865,13905352404929701888,-3988.92139589297,7375.09709899248,8786.69652633959,8764.77698882541,8764.77698882541,8764.77698882541,8764.77698882541,4852297369714508800,7295.2509955324,9714.42575913647,2.52453627316748e-10,9.44376317183646e-15,2.2491798028828e-41,2.2491798028828e-41,2.2491798028828e-41,2.2491798028828e-41,2.83011094288122e-92,1.53192597738267e-11
1,1,64,0,0,"0","0","0",0,1,0,-59.1491244464396,475.513864402535,702.728679757439,-1024.84962109128,-601.457427786155,-601.457427786155,2077818412531398656,-149.938482722348,7262.23565125384,8505.5894106401,8358.9878834005,8547.18635585102,7999.80675885668,7999.80675885668,1500141209331596800,7213.12183465635,9417.97729543016,2.17211990558574e-09,1.34867020598983e-14,2.19854655405816e-10,2.4127429585526e-15,4.41869384396307e-08,4.41869384396307e-08,3.4272790281146e-96,5.72310719316985e-10
1,1,128,0,0,"0","0","0",0,1,0,-5703.57951094806,-1335.30808480197,-1402.07220379249,-1265.2531593514,-4573.73000634765,-4573.73000634765,4821705725514329088,-5706.18558763179,6913.6827642855,8482.06481854948,8150.31295343973,8566.80730214459,7995.83882618432,7995.83882618432,3003448385607757312,6900.94136937953,9452.39952369047,1.44578159649465e-13,1.59153590156627e-16,3.27695580842559e-17,4.64603236867817e-19,6.35081413075075e-08,6.35081413075075e-08,2.76859597073263e-89,7.94650241882237e-14
1,1,256,0,0,"0","0","0",0,1,0,-2456.76590960204,-1404.45238850752,-1299.98656395052,-797.610316476861,-1299.98656395052,-1299.98656395052,3668889512242571264,-2457.54862063578,6954.45403699206,9177.20533023246,8694.010343917,9177.20533023246,8694.010343917,8694.010343917,2148422670530310400,6953.94571964102,10196.8435417935,3.55695044863068e-25,2.99563386172226e-15,3.53426071540944e-20,2.99563386172226e-15,3.53426071540944e-20,3.53426071540944e-20,1.68851801849718e-87,2.57794661180538e-25
1,2,32,0.9662,0.265,"0.265","0.265","0.265",0.265,1,0.9208,76680.9199041671,-20160.4126335276,-9655.38061725088,13085.6668898159,30576.6080095598,30576.6080095598,8.78755383698406e+22,76630.0607996444,83906.2491237745,89585.6188373323,89585.6188373323,89585.6188373323,89585.6188373323,89585.6188373323,8.2249518352743e+21,83905.9649892393,105192.256954917,1.12603763214331e-13,3.32121549620177e-19,3.32121549620177e-19,3.32121549620177e-19,3.32121549620177e-19,3.32121549620177e-19,2.40478359244245e-166,9.67897338766875e-14
1,2,64,0,0,"0","0","0",0,1,0.0017,-57307.1807302925,-27388.6929032049,-28080.708009969,-24277.0380487877,-28465.5494902044,-28465.5494902044,68285710714388889600,-57244.2993645362,93154.5705998295,105694.813429082,105694.813429082,109198.003572407,105694.813429082,105694.813429082,1.60390188038336e+20,93145.0477049543,119056.902247312,6.97289955713951e-12,8.91626981061665e-15,8.91626981061665e-15,8.67595258452176e-22,8.91626981061665e-15,8.91626981061665e-15,5.34651193686746e-112,6.70020238234073e-12
1,2,128,0,0,"0","0","0",0,1,0,-25529.1295794621,-11819.148043965,-15843.0603096364,-22551.1297828095,-15843.0603096364,-15843.0603096364,31199940373145296896,-25589.1410861727,85543.7251977918,90664.5948641613,90664.5948641613,93258.3425650982,90664.5948641613,90664.5948641613,36643414735418540032,85536.4375762015,106709.374486367,4.67163661019454e-16,7.558964834767e-22,7.558964834767e-22,2.92756725874076e-26,7.558964834767e-22,7.558964834767e-22,1.15300605902656e-85,4.70407472619802e-16
1,3,64,0,0,"0","0","0",0,1,0,-15800.1204174151,-6869.46942798201,-7347.42292005958,-4355.7308171024,-5431.95397306533,-5431.95397306533,1458205699324287488,-15815.9961692646,20527.7837207444,34165.3876126882,34190.3260759553,35212.0569785855,34190.3260759553,34190.3260759553,2563650503037513216,20487.6149025289,41793.7759851493,1.73153594517195e-31,1.30506652428859e-50,9.00755837667341e-38,1.94549051558503e-58,9.00755837667341e-38,9.00755837667341e-38,3.03753740293617e-89,1.00397322969381e-31
1,3,128,0,0,"0","0","0",0,1,0,-18915.1082943618,-6689.02621196805,-9489.64527967948,-6794.5787142557,-7685.70951265593,-7685.70951265593,1062290600690178560,-18928.4698651347,20640.9856391067,36120.1387767165,35407.1634520481,37011.1370483112,34258.8585989524,34258.8585989524,45680026987446419456,20647.3433210209,44139.8312343452,8.20320180593136e-49,1.00302503640921e-61,2.12368769614202e-57,1.0656878460893e-62,5.76756421138643e-45,5.76756421138643e-45,3.99667373986029e-90,7.04043671512471e-49
1,71,64,0,0,"0","0","0",0,1,0,-4518.76240287126,5508.63575811253,6086.75569017616,5508.63575811253,-1846.17500809646,-1846.17500809646,1.14032259173473e+21,-4544.41298269185,21833.9601481775,26883.9282387474,25534.79463708,26883.9282387474,23364.6650722655,23364.6650722655,1.06620098108808e+22,21866.0025060409,35143.1547680964,5.20994240760881e-36,2.22672048727446e-29,3.34640764465671e-31,2.22672048727446e-29,6.84177375812399e-36,6.84177375812399e-36,6.51158631791435e-88,4.81749535880386e-36
