,X,Year,Actual,Forecaster15,Forecaster16,Forecaster24,Forecaster37,Forecaster39,Forecaster89,Forecaster93,Forecaster94,Forecaster95,targettime,predtime,aheadtime
1,2000_1999Q1,1,2.108333333,1.875954163,1.8,1.8,1.9,1.6,1.3,1.2,1.5,1,2000,1999Q1,Q1_1
2,2000_1999Q2,1,2.108333333,2.732113541,1.8,1.7,1.9,1.7,1.4,1.3,1.5,1.2,2000,1999Q2,Q2_1
3,2000_1999Q3,1,2.108333333,2.510964523,1.8,1.616666667,1.9,1.6,1.647263479,1.5,1.7,1.2,2000,1999Q3,Q3_1
4,2000_1999Q4,1,2.108333333,1.751844018,1.5,1.5,1.9,1.6,1.6,1.4,1.6,1.5,2000,1999Q4,Q4_1
9,2001_2000Q1,1,2.35,1.8,1.2,1.9,1.8,1.7,1.9,1.8,1.3,1.6,2001,2000Q1,Q1_1
10,2001_2000Q2,1,2.35,1.9,1.3,1.9,1.8,1.9,1.7,2.1,1.3,1.7,2001,2000Q2,Q2_1
11,2001_2000Q3,1,2.35,1.9,1.939108764,1.785714286,2,2.1,1.8,1.6,1.3,1.8,2001,2000Q3,Q3_1
12,2001_2000Q4,1,2.35,2.1,1.7,2.2,2,2.1,2.2,2,1.9,2.1,2001,2000Q4,Q4_1
13,2001Dec_2000Q1,1,2.1,1.7,1.2,2,1.8,1.9,1.9,1.070619735,1.4,1.7,2001Dec,2000Q1,Q1_DEC
17,2001Mar_2000Q2,1,2.2,2.1,0.9,1.7,1.8,1.8,1.7,1.377974737,1.7,1.5,2001Mar,2000Q2,Q2_MAR
18,2001Sep_1999Q4,2,2.2,1.654266441,1.1,2.1,2,1.6,1.8,1.640033165,1.5,1.6,2001Sep,1999Q4,Q4_SEP_2
19,2001Sep_2000Q4,1,2.2,2,1.7,1.8,2,1.7,1.8,2,1.9,1.9,2001Sep,2000Q4,Q4_SEP
20,2002_2000Q3,2,2.258333333,1.7,1.16428161,2.152668141,2,2,1.9,1.5,1.4,1.6,2002,2000Q3,Q3_2
21,2002_2000Q4,2,2.258333333,1.7,1.5,1.8,2,1.9,1.8,1.7,1.7,1.6,2002,2000Q4,Q4_2
22,2002_2001Q1,1,2.258333333,1.7,1.5,1.7,2,1.9,1.8,1.6,1.3,1.6,2002,2001Q1,Q1_1
23,2002_2001Q2,1,2.258333333,1.6,1.553601439,1.7,1.8,1.8,1.9,1.6,1.8,1.733183721,2002,2001Q2,Q2_1
24,2002_2001Q3,1,2.258333333,1.9,2.128344724,2,1.8,1.8,2.3,1.8,2.4,2,2002,2001Q3,Q3_1
25,2002_2001Q4,1,2.258333333,2,1.553274197,1.6,1.7,1.6,1.9,1.6,2,1.6,2002,2001Q4,Q4_1
26,2002Dec_2001Q1,1,2.3,1.7,1.7,1.8,2,2.1,1.8,1.5,1.3,1.6,2002Dec,2001Q1,Q1_DEC
27,2002Jun_2000Q3,2,1.9,1.7,1.858523456,2.034909877,1.8,2,1.9,1.6,1.4,1.6,2002Jun,2000Q3,Q3_JUN_2
28,2002Jun_2001Q3,1,1.9,2,2.032113301,1.5,1.7,2.2,2.1,2.2,2.8,2.2,2002Jun,2001Q3,Q3_JUN
29,2002Mar_2000Q2,2,2.5,1.9,1.4,1.8,1.8,1.9,1.9,1.75,1.5,1.8,2002Mar,2000Q2,Q2_MAR_2
30,2002Mar_2001Q2,1,2.5,1.8,1.378623073,1.5,1.5,1.6,1.7,1.6,2,1.602926613,2002Mar,2001Q2,Q2_MAR
31,2002Sep_2000Q4,2,2.1,1.7,1.4,1.9,2,1.9,1.8,1.7,1.4,1.6,2002Sep,2000Q4,Q4_SEP_2
32,2002Sep_2001Q4,1,2.1,1.9,1.591616855,1.4,1.9,1.5,1.8,1.7,2,1.3,2002Sep,2001Q4,Q4_SEP
33,2003_2001Q3,2,2.083333333,1.75,1.41357205,1.9,1.9,1.8,2.1,1.5,2,1.8,2003,2001Q3,Q3_2
34,2003_2001Q4,2,2.083333333,1.75,1.70744077,1.8,1.9,1.8,2.1,1.8,2.3,1.5,2003,2001Q4,Q4_2
35,2003_2002Q1,1,2.083333333,1.7,1.9,1.880018304,1.8,1.9,1.8,2,2.4,1.5,2003,2002Q1,Q1_1
36,2003_2002Q2,1,2.083333333,1.7,1.8,2,1.9,2,1.9,2,2,1.8,2003,2002Q2,Q2_1
37,2003_2002Q3,1,2.083333333,1.6,1.66828397,2,2,1.8,1.9,1.9,1.9,1.8,2003,2002Q3,Q3_1
38,2003_2002Q4,1,2.083333333,1.7,1.6,1.6,1.8,1.796353768,2,1.8,1.9,1.8,2003,2002Q4,Q4_1
39,2003Dec_2002Q1,1,2,1.6,2,1.887962861,1.8,1.8,1.9,2,2.4,1.6,2003Dec,2002Q1,Q1_DEC
40,2003Jun_2001Q3,2,2,1.8,1.898689782,1.9,1.9,1.7,2.2,1.4,2,1.8,2003Jun,2001Q3,Q3_JUN_2
41,2003Jun_2002Q3,1,2,1.6,1.741019728,1.8,2,1.7,2.1,1.9,1.7,1.8,2003Jun,2002Q3,Q3_JUN
42,2003Mar_2001Q2,2,2.4,1.6,1.657162322,1.9,2,1.8,1.9,1.8,1.6,1.808297879,2003Mar,2001Q2,Q2_MAR_2
43,2003Mar_2002Q2,1,2.4,1.7,1.8,2.1,2,2.2,1.9,1.9,2.2,1.9,2003Mar,2002Q2,Q2_MAR
44,2003Sep_2001Q4,2,2.1,1.75,1.754711139,1.9,2.2,1.9,2.1,1.8,2.4,1.4,2003Sep,2001Q4,Q4_SEP_2
45,2003Sep_2002Q4,1,2.1,1.7,1.6,1.3,1.8,1.696374794,1.8,1.8,1.8,1.8,2003Sep,2002Q4,Q4_SEP
46,2004_2002Q3,2,2.15,1.6,1.547060238,1.8,2,2,1.8,2,2.2,1.6,2004,2002Q3,Q3_2
47,2004_2002Q4,2,2.15,1.7,1.8,1.7,2,1.878331578,2,2,2.2,1.6,2004,2002Q4,Q4_2
48,2004_2003Q1,1,2.15,1.7,1.8,1.4,2,1.7,1.8,1.8,2.2,1.6,2004,2003Q1,Q1_1
49,2004_2003Q2,1,2.15,1.785786272,1.8,1.5,2,1.855346767,1.8,1.8,2.2,1.6,2004,2003Q2,Q2_1
50,2004_2003Q3,1,2.15,1.4,1.4,1.2,1.8,1.6,1.8,1.7,1.574387181,1.6,2004,2003Q3,Q3_1
51,2004_2003Q4,1,2.15,1.6,1.6,1.5,1.8,1.3,1.8,1.7,1.8,1.7,2004,2003Q4,Q4_1
52,2004Dec_2003Q1,1,2.3,1.7,1.8,1.6,2.2,1.8,1.7,1.8,2.5,1.6,2004Dec,2003Q1,Q1_DEC
54,2004Jun_2003Q3,1,2.4,1.4,1.5,1,1.8,1.6,1.7,1.9,1.544048964,1.6,2004Jun,2003Q3,Q3_JUN
55,2004Mar_2002Q2,2,1.7,1.7,1.9,1.8,2,1.8,1.8,2,1.9,1.6,2004Mar,2002Q2,Q2_MAR_2
56,2004Mar_2003Q2,1,1.7,1.738707589,1.8,1,1.9,1.78092311,1.7,2.1,2,1.6,2004Mar,2003Q2,Q2_MAR
