"target","fips","samplesize","MSEout_OW","MSEout_OW_pos","MSEout_CWM","MSEout_SA","p_OW","p_OW_pos","p_CWM"
1,1,16,38867.9417442275,15298.9047619048,14565.0476190476,13551.8095238095,0.4848,0.5377,"0.6026"
1,1,20,8139.33589563211,10085.0593092173,10824.8529411765,12334.7905882353,0.8126,0.3717,"0.5848"
1,2,12,1677671.55776001,185093.288917335,154019.133522727,148937.387755102,0.9953,0.9966,"0.0038"
1,2,16,291161.493458702,225532.263946358,213798.395833333,174023.154195011,0.9989,0,"0"
1,2,20,481983.249813577,255736.881887746,197319.741071429,175292.469387755,0.3472,0.7802,"0.6237"
1,2,24,496389.090930946,92182.3943665691,84473.072,95917.0183673469,0.9776,0.2736,"0.0059"
1,2,28,96763.9650874348,95247.6875210325,104056.706666667,112287.887755102,0.8567,0.8891,"0.1012"
1,3,12,113883.846815296,44163.0333498067,51009.5390625,55367.1990740741,0.999,0.9481,"0"
1,3,16,76239.6742213243,51792.0427288901,54825.65,65193.2097222222,0.9946,0.9625,"0.8581"
1,3,24,10008.5930752223,8040.83333333334,8883.32291666667,8927.25,0.1152,0.2059,"0"
1,3,28,6363.63439392947,5040.335162827,5658.96875,6128.07638888889,0.1638,0.2262,"0"
1,71,12,94127.8801285154,22410.0833333333,23754.7604166667,23493.6909722222,0.9705,0.9855,"0"
1,71,16,42080.341912778,17500.6,22304.36875,21737.8319444444,0.9889,0.9175,"0.0282"
1,71,20,7139.47189847241,10480.9354325265,16373.28125,17688.6267361111,0.6935,0,"0.0074"
1,71,24,3024.42507293902,2148.66666666667,2471.22916666667,2797.8125,0.0904,0.1533,"0.0028"
1,71,28,3108.77503814932,2296.375,2143.8671875,2591.12847222222,0.014,0.029,"0"
1,72,12,385.426226029762,282.44,311.857777777778,279.6272,0.3136,0.23,"0.0457"
1,72,16,406.08203972727,318.095238095238,360.703703703704,327.331428571429,4e-04,1e-04,"0"
1,72,24,230.012922501815,147.769230769231,225.863247863248,198.363076923077,0,0,"0"
