"condition","judge_draws","judgments_draw","samplesize","MSEout_OW","MSEout_OW_pos","MSEout_CWM","MSEout_SA","p_OW","p_OW_pos","p_CWM"
1,1,1,16,29610.3695950727,29758.2509479305,30984.4375,38914.6283333333,0.9928,0.8359,"0.8357"
1,1,2,16,208026.080972333,56878.4301192675,26693.8009259259,31771.705,0.8216,0.8986,"0.9834"
1,1,3,16,69768.562804052,26261.586455935,23677.6796875,30996.355,0.9919,0.7941,"0.7921"
1,1,4,16,35560.9361129225,36131.3569740807,22365.8055555556,25237.2416666667,0.9709,0.9683,"0.9737"
1,1,5,16,20159.0590258613,21209.731875041,18302.9947916667,28665.94,0.9999,0.9911,"0.9705"
1,1,6,16,23881.0063812711,24215.6580399168,24696.8101851852,32999.4633333333,0.9978,0.9975,"0.9983"
1,1,7,16,36369.6468954124,21296.1626978276,17367.8125,27882.3983333333,0.9907,0.9923,"0.9934"
1,1,8,16,34653.5730147745,36986.5213219042,28291.5572916667,39267.3116666667,0.9978,0.998,"0.9808"
1,1,9,16,117151.986078108,79125.3572830069,52296.7592592593,31779.5966666667,0.9926,0.9272,"0.9468"
1,1,10,16,26754.1547202303,26688.7411235079,23917.4947916667,35726.6766666667,0.9959,0.9996,"0.9979"
1,1,11,16,19208.7148499267,19173.6479005183,16031.0555555556,30169.65,0.9956,0.9711,"0.9697"
1,1,12,16,94676.3386576332,52488.6407111753,19672.0390625,29364.2183333333,0.9653,0.8052,"0.9921"
1,1,13,16,27903.4638813409,28200.4342187214,29833.7708333333,42531.2383333333,0.9996,0.9993,"0.997"
1,1,14,16,41289.5093954039,32803.4419326283,24410.4375,35488.47,0.9977,0.9883,"0.9936"
1,1,15,16,22768.3008416064,22933.9005689389,20894.5,30650.0066666667,0.9999,0.9836,"0.9954"
1,1,16,16,31106.1293066754,31142.41174062,40980.8816666667,40980.8816666667,0.9998,0.9913,"No need to compare!"
1,1,17,16,55875.4058838555,58295.5576138744,32569.4140625,40519.985,0.9625,0.9804,"0.8189"
1,1,18,16,32429.0623267724,32481.3150415315,38890.4609375,35286.9833333333,0.9972,0.9969,"0.9912"
1,1,19,16,47489.5559921795,48278.9212002883,44214.3425925926,29216.01,0.999,0.9994,"0.9989"
1,1,20,16,37426.9179967216,34629.8259536542,24047.6796875,28437.4183333333,0.992,0.9505,"0.86"
1,1,21,16,44869.2193826518,43766.1821768234,32088.765625,42763.705,0.9938,0.9858,"0.9482"
1,1,22,16,21960.007593371,22358.7439038724,23135.2592592593,25985.4116666667,0.9654,0.9928,"0.9841"
1,1,23,16,49960.4949037226,49970.4437052881,48145.8009259259,29407.07,0.916,0.9691,"0.9646"
1,1,24,16,28322.4820010772,27575.4680851757,18943.3611111111,29084.765,0.9989,0.9961,"0.9994"
1,1,25,16,12935.2970874128,13207.8708802306,13964.6015625,24865.08,0.9815,0.982,"0.9814"
1,1,26,16,37449.3110047813,24713.8871199777,16308.0572916667,26332.385,0.9976,0.9902,"0.9866"
1,1,27,16,19941.4668190316,18717.5231712662,17606.2604166667,23845.3033333333,0.9961,0.9995,"0.9678"
1,1,28,16,16874.0979488936,16199.5824539022,17333.9351851852,24604.8333333333,0.9996,0.9967,"0.981"
1,1,29,16,52647.8429775117,39884.9575811176,28116.0324074074,35966.92,0.991,0.8835,"0.9926"
1,1,30,16,32296.7201963108,22802.4215896779,21733.7369791667,20313.8733333333,0.9484,0.9608,"0.6844"
1,1,31,16,59425.3731096024,40241.3713642266,22311.0182291667,27839.6783333333,0.9817,0.8803,"0.5202"
1,1,32,16,11850.8755336851,11894.0821256442,12007.0598958333,24037.635,0.9998,0.9976,"0.9997"
1,1,33,16,92108.2191187788,62244.3377241367,20255.4869791667,32696.4383333333,0.9929,0.9577,"0.9448"
1,1,34,16,113934.86965697,45505.3174962815,18650.6197916667,28162.02,0.9975,0.9671,"0.9746"
1,1,35,16,72010.13990255,57451.1800286176,29848.5182291667,40581.7133333333,0.9626,0.8751,"0.8233"
1,1,36,16,159115.384295181,84610.9946182713,55407.9861111111,31235.2283333333,0.9908,0.8388,"0.5994"
1,1,37,16,36223.3201240694,27837.3520520225,23716.8255208333,31961.9616666667,0.9971,0.993,"0.9894"
1,1,38,16,46688.7809678605,43583.6031509369,29197.3098958333,33204.0816666667,0.9967,0.8866,"0.1487"
1,1,39,16,49568.3701550936,45782.6827052437,51851.8854166667,27962.16,0.9875,0.9933,"0.9951"
1,1,40,16,35852.6556305616,35673.8316328728,26374.1435185185,36310.4066666667,0.9947,0.9935,"0.9983"
1,1,41,16,68597.0733590382,81806.2509556641,51076.4166666667,29986.92,0.9923,0.9627,"0.9441"
1,1,42,16,49323.3083745736,19793.2676663578,21896.5572916667,24308.5683333333,0.9321,0.8653,"0.6821"
1,1,43,16,28408.321241405,21054.6286327806,18118.4479166667,27698.6566666667,0.9961,0.9921,"0.9896"
1,1,44,16,52168.1862290792,53963.2837816747,21904.1822916667,23976.7383333333,0.9417,0.9365,"0.4001"
1,1,45,16,43433.0664907173,36746.1231312964,26133.4583333333,28284.3,0.9904,0.9937,"0.9876"
1,1,46,16,28342.9670487036,28194.2094590572,28899.7361111111,29316.53,0.9402,0.9826,"0.9875"
1,1,47,16,33081.4018352261,27606.5135507497,28780.8796296296,34801.0633333333,0.9791,0.946,"0.9942"
1,1,48,16,23075.3546485028,22192.0630173845,14096.4322916667,21418.27,0.9915,0.9972,"0.9908"
1,1,49,16,29210.6719253524,29019.7870449537,60673.5925925926,36876.1633333333,0.9983,0.9993,"0.9904"
1,1,50,16,26568.569462678,26637.2898568993,22417.1574074074,31875.7483333333,0.9878,0.9911,"0.9973"
1,1,51,16,45769.9359568569,53217.8885953624,42622.0694444445,25959.5683333333,0.998,0.9985,"0.9975"
1,1,52,16,36534.2580129244,36727.0056521598,40608.3802083333,35227.9383333333,0.9985,0.9942,"0.9983"
1,1,53,16,23277.0663867184,21356.068724969,13299.2083333333,23714.6066666667,0.9898,0.9905,"0.9902"
1,1,54,16,50104.816250457,30033.2837503719,23481.875,29524.985,0.9925,0.9899,"0.8809"
1,1,55,16,30397.4096279647,30470.1979684594,24985.8657407407,37995.2766666667,0.9998,0.9958,"0.9984"
1,1,56,16,26037.2989147704,26018.6435396992,22553.8776041667,29006.5483333333,0.9975,0.9977,"0.9742"
1,1,57,16,26398.4482158241,26727.0003850255,20693.2421875,33409.9733333333,0.9973,0.9997,"0.9975"
1,1,58,16,25736.3502182855,26327.7418397239,24777.2447916667,34202.69,0.9997,0.9996,"0.9954"
1,1,59,16,28629.2672795508,28764.8388550438,20888.875,32881.735,0.9987,0.9917,"0.9974"
1,1,61,16,24583.7167496445,24629.6323193204,19971.7083333333,27252.4816666667,0.9996,0.9995,"0.99"
1,1,62,16,128044.72054297,81272.4174234752,40692.495,40692.495,0.999,0.9474,"No need to compare!"
1,1,63,16,31359.984097712,31389.644735072,65705.2777777778,30934.3416666667,0.9971,0.9994,"0.997"
1,1,64,16,40911.4249811542,32637.2558559249,26614.1805555555,33388.91,0.998,0.9926,"0.9844"
1,1,65,16,31443.2570463633,29347.574443183,23114.8657407407,34309.92,1,0.9967,"0.9981"
1,1,66,16,20743.964202093,20284.1492643319,21557.9609375,27549.0283333333,0.9962,0.9893,"0.8525"
1,1,67,16,30918.3086807833,30900.6375869257,22110.6388888889,33211.4,0.9924,0.955,"0.9982"
1,1,68,16,27558.792710788,25002.9743743557,24407.3645833333,28911.3033333333,0.9974,0.9937,"0.9409"
1,1,69,16,27953.5389275892,28869.0537945975,29852.462962963,32651.57,0.9743,0.9943,"0.9861"
1,1,70,16,51077.4195334079,51070.158418415,41893.0783333333,41893.0783333333,0.9984,0.9987,"No need to compare!"
1,1,71,16,26525.3883843092,26850.7903683103,25894.0601851852,38557.5266666667,0.998,0.9995,"0.9996"
1,1,72,16,38946.8997857352,31594.2604086577,21431.2630208333,23095.8316666667,0.9896,0.9957,"0.7148"
1,1,73,16,23823.7020155275,24192.9470365286,22186.03125,31129.9316666667,0.9997,0.9989,"0.9974"
1,1,74,16,32907.0536601822,18884.2377198506,19042.7604166667,24700.2133333333,0.9992,0.9989,"0.9343"
1,1,75,16,27149.2057456034,26911.9081625694,21052.5338541667,27403.385,0.9964,0.9548,"0.9744"
1,1,76,16,29611.7520566284,29513.4071910268,24986.2057291667,31677.03,0.9655,0.9679,"0.9642"
1,1,77,16,26939.3304172039,26451.0697086167,25424.6898148148,29364.1916666667,0.9972,0.9994,"0.9889"
1,1,78,16,34874.458022504,33145.0393666461,23530.1354166667,32412.9333333333,0.9983,0.9988,"0.9806"
1,1,79,16,26952.0745446082,25596.0835049181,23027.3307291667,26796.3533333333,0.9952,0.9933,"0.8916"
1,1,80,16,37069.8532673323,39034.1550422768,47026.8194444445,29122.91,0.9996,0.999,"0.9999"
1,1,81,16,19190.9240608442,18821.9563161135,17430.265625,27595.7633333333,0.9981,0.9994,"0.9998"
1,1,82,16,48132.0771107854,42090.3356113352,50845.0833333333,33450.59,0.9811,0.9703,"0.9777"
1,1,83,16,36123.2781996718,30306.7606776931,23423.015625,24728.2383333333,0.983,0.9779,"0.6379"
1,1,84,16,95706.4090676514,63212.7761765105,59643.9557291667,44078.4266666667,0.9532,0.9475,"0.8198"
1,1,85,16,36617.1583020517,28795.4088060129,18924.6354166667,21175.0533333333,0.6813,0.7478,"0.1253"
1,1,86,16,25097.4031293421,25250.7865960905,20150.8194444444,25561.0116666667,0.9971,0.9855,"0.9991"
1,1,87,16,88898.6625838244,77488.3277463736,28248.7731481481,28809.6966666667,0.9931,0.7842,"0.788"
1,1,88,16,60539.17253104,54792.7572999888,46057.4768518519,30190.935,0.9853,0.9769,"0.9903"
1,1,89,16,28932.434723106,27184.5225071331,32912.5416666667,32912.5416666667,0.9917,1,"No need to compare!"
1,1,90,16,27404.2080034669,25928.0187267241,20794.0833333333,23801.1166666667,0.9976,0.9868,"0.9944"
1,1,91,16,25535.7976841631,25558.6020506789,17638.9192708333,29218.5883333333,0.9972,0.9983,"0.9997"
1,1,92,16,70212.2048256859,77500.7449736419,55694.8194444445,34548.5883333333,0.9587,0.8919,"0.9013"
1,1,93,16,22794.8136019834,17793.1210182528,18865.1067708333,26968.025,0.9989,0.9941,"0.9541"
1,1,94,16,11335.3500339901,9410.81276519177,9645.61458333333,20690.2633333333,0.9927,0.9998,"0.9952"
1,1,95,16,26737.2962178353,25108.7228792507,26115.2864583333,30124.8383333333,0.9771,0.8988,"0.5177"
1,1,96,16,88814.8753652471,55685.0895257914,54670.3101851852,31563.525,0.9956,0.9803,"0.8741"
1,1,97,16,73053.4909153036,46898.0243825474,26177.9895833333,32673.6716666667,0.9982,0.9556,"0.5784"
1,1,98,16,36021.6322525099,36002.0179577022,36266.2824074074,33123.17,0.9763,0.9771,"0.9996"
1,1,99,16,27862.4991480203,25411.9998264152,26377.7453703704,30090.1066666667,0.999,0.9976,"0.9919"
1,1,100,16,25381.2825802447,25475.5716605139,46244.8229166667,34614.745,0.9806,0.9923,"0.9921"
1,2,1,16,28052.4868489416,28059.7621577262,27178.0766666667,27178.0766666667,0.9989,0.9999,"No need to compare!"
1,2,2,16,129843.118659665,30866.5366272194,16694.6157407407,13566.8433333333,0.9795,0.9988,"0.9917"
1,2,3,16,24446.963296154,23993.0451628364,19481.5509259259,17016.795,0.9962,0.9973,"0.9932"
1,2,4,16,27610.6162154843,27630.5127489864,27691.9010416667,27998.6966666667,0.998,0.999,"0.9997"
1,2,5,16,36212.5577173628,28266.507732152,23351.3935185185,11876.1516666667,0.9956,0.9937,"0.9934"
1,2,6,16,22339.5688687698,22111.0958500789,34523.90625,16711.2716666667,0.8194,0.8444,"0.9817"
1,2,7,16,43169.7085559033,29504.4552982726,29860.59375,28282.0533333333,0.9952,0.9921,"0.9067"
1,2,8,16,30241.0190909364,29582.0696389446,22207.7453703704,19133.63,0.9684,0.9268,"0.9909"
1,2,9,16,41561.1075141073,39847.8617146358,25854.3240740741,16895.6183333333,0.9996,0.9997,"0.993"
